AUN,district,county,adm,wadm,instruction,support,other,current,facilities,financing,total,"AIE per WADM"
112011103,Bermudian Springs SD,Adams,2176.758,2499.125,5481.05,2832.25,277.88,8591.18,0,1509.12,10100.3,5321.59
112011603,Conewago Valley SD,Adams,3939.555,4533.233,5830.79,2816.66,213.94,8861.39,0,955.96,9817.35,5780.24
112013054,Fairfield Area SD,Adams,1224.608,1429.453,6351.17,3639.94,291.58,10282.69,0,1652.36,11935.06,6972.28
112013753,Gettysburg Area SD,Adams,3304.356,3915.715,7366.77,4324.14,280.93,11971.84,0,1442.3,13414.14,7669.67
112015203,Littlestown Area SD,Adams,2267.682,2622.518,6243.04,2869.98,169.93,9282.94,0,1267.84,10550.78,6243.64
112018523,Upper Adams SD,Adams,1836.449,2167.262,6380.04,3538.55,309.35,10227.95,0,1527.21,11755.16,6364.16
103020603,Allegheny Valley SD,Allegheny,1171.075,1397.262,7260.84,5735.27,611.88,13608,0,2400.76,16008.76,9029.13
103020753,Avonworth SD,Allegheny,1351.055,1564.66,7746.08,6018.2,497.85,14262.13,0,2111.97,16374.1,8229.95
103021102,Baldwin-Whitehall SD,Allegheny,4279.642,5089.976,6598.19,4222.13,252.54,11072.86,88.86,1991.04,13152.76,7298.3
103021252,Bethel Park SD,Allegheny,4943.687,5728.18,7490.04,3690.51,255.24,11435.78,16.24,2404.42,13856.44,7834.55
103021453,Brentwood Borough SD,Allegheny,1265.862,1502.882,7182,3581.35,468.57,11231.91,159.26,1488.9,12880.07,7766.37
103021603,Carlynton SD,Allegheny,1544.629,1804.086,8167.8,4104.86,256.09,12528.75,0,1050.58,13579.33,8138.63
103021752,Chartiers Valley SD,Allegheny,3531.855,4156.459,6180.59,4149.91,316.53,10647.03,7.61,3222.11,13876.75,6935.89
103021903,Clairton City SD,Allegheny,902.236,1060.204,11169.82,4222.53,189.61,15581.97,0,52.24,15634.2,9350.35
103022103,Cornell SD,Allegheny,710.21,846.65,8855.7,4655.04,484.9,13995.64,377.53,1648.29,16021.46,8858.29
103022253,Deer Lakes SD,Allegheny,2061.629,2429.468,7642.24,4861.47,177.97,12681.68,0,1465.86,14147.54,8025.22
103022503,Duquesne City SD,Allegheny,757.752,880.564,11504.52,4264.11,27.74,15796.37,0,2117.73,17914.11,5066.28
103022803,East Allegheny SD,Allegheny,1935.268,2281.63,7799.68,4027.41,225.49,12052.59,0,1637.83,13690.41,7093.87
103023153,Elizabeth Forward SD,Allegheny,2771.058,3309.112,6675.62,4652.99,290.35,11618.96,0,336.63,11955.59,7352.4
103023912,Fox Chapel Area SD,Allegheny,4627.596,5462.301,9053.84,4660.55,373.91,14088.3,28.29,1825.11,15941.7,9674.34
103024102,Gateway SD,Allegheny,4244.692,4971.189,8791.6,4389.36,243.16,13424.13,0,1043.37,14467.5,9150.96
103024603,Hampton Township SD,Allegheny,3112.392,3610.349,7135.45,3568.84,314.13,11018.43,0,1913.7,12932.13,7686.51
103024753,Highlands SD,Allegheny,2902.816,3345.769,6959.93,3824.78,195.92,10980.64,0,754.15,11734.79,6706.43
103025002,Keystone Oaks SD,Allegheny,2322.903,2684.395,7665.77,4509.9,350.05,12525.72,0,2173.65,14699.37,8436.1
103026002,McKeesport Area SD,Allegheny,4357.903,5136.962,7643.43,3645.43,145.42,11434.29,0,1690.36,13124.65,5955.48
103026303,Montour SD,Allegheny,3179.688,3761.123,7275.24,4667.7,331.5,12274.44,0,1298.04,13572.48,8075.79
103026343,Moon Area SD,Allegheny,3826.73,4420.181,7775.96,3932.62,565.04,12273.62,0,2064.12,14337.74,8496.03
103026402,Mt Lebanon SD,Allegheny,5448.911,6278.504,7503.93,4063.37,407.38,11974.68,0,1438.07,13412.75,8783.81
103026852,North Allegheny SD,Allegheny,8134.591,9322.664,7806.37,3924.52,258.86,11989.75,1.47,3718.64,15709.86,8632.92
103026902,North Hills SD,Allegheny,4569.708,5386.005,7633.9,3910.8,310.4,11855.09,3.5,1280.98,13139.58,8136.23
103026873,Northgate SD,Allegheny,1402.193,1664.235,7907.22,3880.39,357.17,12144.78,31.74,809.04,12985.56,7840.17
103027352,Penn Hills SD,Allegheny,5483.777,6450.791,7976.06,4485.19,219.78,12681.02,0,612.42,13293.44,7781.61
103021003,Pine-Richland SD,Allegheny,4461.094,5080.888,6742.65,3348.87,350.36,10441.88,216.66,1813.44,12471.98,7556.22
102027451,Pittsburgh SD,Allegheny,29961.877,35165.812,10985.13,6595.17,265.69,17845.99,242.33,2126.44,20214.76,10912.66
103027503,Plum Borough SD,Allegheny,4319.363,5102.278,6695.72,3322.21,147.66,10165.59,36.78,1352.89,11555.26,6536.13
103027753,Quaker Valley SD,Allegheny,1932.264,2212.959,8826.62,5666.14,620.53,15113.29,0,3468.84,18582.13,11330.41
103028203,Riverview SD,Allegheny,1179.5,1403.754,7714.13,4785.59,488.76,12988.48,69.63,1030.17,14088.27,8442.38
103028302,Shaler Area SD,Allegheny,5221.557,6071.308,7355.91,3910.61,291.07,11557.6,28.68,1408.29,12994.57,7229.72
103028653,South Allegheny SD,Allegheny,1712.499,2038.946,6687.44,3255.71,176.36,10119.51,39.04,1155.86,11314.41,6077.87
103028703,South Fayette Township SD,Allegheny,2194.507,2454.545,6303.19,4374.97,368.67,11046.83,0,2093.51,13140.35,7773.24
103028753,South Park SD,Allegheny,2237.172,2589.511,6314.87,3988.55,346.79,10650.21,0,8502.58,19152.8,6926.43
103028833,Steel Valley SD,Allegheny,2115.633,2499.248,7918.81,3679.33,300.37,11898.51,0,758.41,12656.92,7634.35
103028853,Sto-Rox SD,Allegheny,1642.31,1924.933,8202.57,5324.86,191.7,13719.12,20.36,1016.72,14756.21,7956.02
103029203,Upper Saint Clair SD,Allegheny,4114.271,4754.111,7672.73,4125.98,270.43,12069.14,0,1178.82,13247.96,8232.92
103029403,West Allegheny SD,Allegheny,3300.887,3766.763,6549.8,4381.96,360.33,11292.1,61.1,2395.52,13748.73,7722.59
103029553,West Jefferson Hills SD,Allegheny,2899.125,3324.834,6602,3558.46,313.87,10474.33,0,1271.39,11745.72,7237.61
103029603,West Mifflin Area SD,Allegheny,3213.996,3792.164,7433.4,4438.76,416.76,12288.92,1.75,1711.24,14001.91,7326.78
103029803,Wilkinsburg Borough SD,Allegheny,1526.732,1780.2,11544.29,5547.74,459.3,17551.32,0,419.66,17970.97,10436.62
103029902,Woodland Hills SD,Allegheny,5319.755,6271.814,9304.72,4181.4,275.02,13761.14,7.52,1323.44,15092.1,8056.09
128030603,Apollo-Ridge SD,Armstrong,1620.601,1882.285,7187.65,3296.71,51.93,10536.29,0,991.08,11527.37,6806.52
128030852,Armstrong SD,Armstrong,6321.927,7336.449,7900.61,4068.95,248.88,12218.44,10.73,808.01,13037.18,7454.61
128033053,Freeport Area SD,Armstrong,2018.106,2363.657,5964.7,3322.73,141.18,9428.61,0,1395.3,10823.91,6425.23
128034503,Leechburg Area SD,Armstrong,897.915,1024.985,7667.11,3512.82,297.71,11477.64,0,9855.12,21332.76,7927.55
127040503,Aliquippa SD,Beaver,1246.973,1460.449,8938.01,6340.2,407.01,15685.22,1322.97,679.3,17687.48,9600.49
127040703,Ambridge Area SD,Beaver,2961.811,3339.409,6862.88,3340.83,219.44,10423.15,0,1870.9,12294.05,6847.25
127041203,Beaver Area SD,Beaver,2132.382,2470.411,5506.2,3708.17,332.9,9547.27,1.1,1302.19,10850.55,6141.98
127041503,Big Beaver Falls Area SD,Beaver,1881.978,2220.336,6930.51,4099.03,382.51,11412.04,100.43,1083.57,12596.05,6709.08
127041603,Blackhawk SD,Beaver,2764.229,3199.193,6414.14,3336.6,269.6,10020.34,0,317.28,10337.62,6828.69
127041903,Center Area SD,Beaver,1890.471,2193.388,6128.47,3475.88,295.82,9900.17,0,1003.34,10903.51,6557.25
127042853,Freedom Area SD,Beaver,1654.282,1904.477,5912.11,3497.38,315.15,9724.65,0,1310.48,11035.13,5898.27
127044103,Hopewell Area SD,Beaver,2750.358,3281.437,6362.21,3279.62,287.31,9929.14,0,1363.45,11292.59,6220.19
127045303,Midland Borough SD,Beaver,455.388,507.65,7458.18,3585.27,105.8,11149.25,545.18,372.47,12066.89,6997.58
127045453,Monaca SD,Beaver,724.526,848.098,7814.54,2929.61,264.16,11008.31,241.27,1421.53,12671.11,7442.96
127045653,New Brighton Area SD,Beaver,1825.999,2084.362,6251.12,3152,197.82,9600.94,132.91,1487.72,11221.57,6469.76
127045853,Riverside Beaver County SD,Beaver,1725.848,2056.603,6902.38,4004.09,239.81,11146.28,0,1327.11,12473.39,6497.23
127046903,Rochester Area SD,Beaver,1022.206,1214.633,8096.59,3988.87,265.85,12351.31,1.7,890.02,13243.03,7962.03
127047404,South Side Area SD,Beaver,1315.295,1555.287,8536.99,4729.75,402.43,13669.17,0,3004.01,16673.18,8722.48
127049303,Western Beaver County SD,Beaver,851.18,1001.517,8155.15,4294.11,167.78,12617.04,0,358.28,12975.32,7710.28
108051003,Bedford Area SD,Bedford,2369.48,2776.296,5690.92,3597.65,205.89,9494.47,0,545.92,10040.39,5334.42
108051503,Chestnut Ridge SD,Bedford,1736.023,2037.544,5874.56,3626.85,238.65,9740.07,0,2449.45,12189.52,5476.46
108053003,Everett Area SD,Bedford,1517.539,1783.712,6548.91,3294.68,198.56,10042.15,0,559.75,10601.9,5859.58
108056004,Northern Bedford County SD,Bedford,1130.942,1328.063,6055.11,3156.52,168.54,9380.17,181.62,265.99,9827.78,5654.11
108058003,Tussey Mountain SD,Bedford,1249.078,1434.442,6918.11,3838.53,190.76,10947.4,255.63,1313.22,12516.26,6010.46
114060503,Antietam SD,Berks,1115.121,1306.672,6379.15,3432.91,286.31,10098.37,0.44,1753.36,11852.16,6905.03
114060753,Boyertown Area SD,Berks,7140.156,8147.354,6292.89,3652.21,153.2,10098.3,0,1304.05,11402.35,6790.19
114060853,Brandywine Heights Area SD,Berks,1908.649,2204.33,7749.42,4288.68,305.35,12343.45,10.92,1901.46,14255.83,8077.87
114061103,Conrad Weiser Area SD,Berks,3055.646,3527.765,7010.4,3437.82,118.82,10567.05,0,1303.79,11870.84,6745.08
114061503,Daniel Boone Area SD,Berks,3949.295,4615.922,6041.57,3348.54,200.28,9590.38,0,1790.4,11380.79,6654.91
114062003,Exeter Township SD,Berks,4406.079,5092.326,6972.88,3097.15,231.21,10301.24,296.15,1855.6,12453,7398.74
114062503,Fleetwood Area SD,Berks,2758.008,3204.72,6195.71,3633.08,36.89,9865.68,0,2318.08,12183.76,6574.59
114063003,Governor Mifflin SD,Berks,4267.78,4919.684,6597.18,3627.32,224.98,10449.48,308.49,1840.75,12598.72,7425.13
114063503,Hamburg Area SD,Berks,2621.517,3088.772,6502.94,3351.58,24.94,9879.45,321.5,1769.12,11970.07,6357.42
114064003,Kutztown Area SD,Berks,1704.762,1967.302,8362.95,4573.71,291.19,13227.86,0,1495.39,14723.25,9466.81
114065503,Muhlenberg SD,Berks,3438.804,3974.653,6388.15,3269.64,348.59,10006.39,0,2352.35,12358.73,7025.96
114066503,Oley Valley SD,Berks,2018.235,2359.306,7021.36,4465.96,203.27,11690.59,3.45,1649.56,13343.61,8033.86
114067002,Reading SD,Berks,17957.593,20348.198,5928.78,2968.97,116.27,9014.02,0.91,557.9,9572.83,4915.98
114067503,Schuylkill Valley SD,Berks,2039.839,2419.729,8158.99,3886.12,410.36,12455.47,0,1783.6,14239.07,8163.87
114068003,Tulpehocken Area SD,Berks,1691.328,1987.026,8254.5,4167.76,257.61,12679.86,83.82,2374.36,15138.05,8342.65
114068103,Twin Valley SD,Berks,3559.521,4153.545,7350.78,3497,263.68,11111.47,10.59,1820.37,12942.43,7340.17
114069103,Wilson SD,Berks,5773.576,6635.498,6643.76,3432.87,258.28,10334.91,0,2058.59,12393.49,7212.13
114069353,Wyomissing Area SD,Berks,1914.18,2263.309,7435.19,4585.88,138.83,12159.91,0,2554.44,14714.34,9048.87
108070502,Altoona Area SD,Blair,8161.899,9526.018,6269.17,3162.53,203.24,9634.94,0,513.38,10148.32,5410.74
108071003,Bellwood-Antis SD,Blair,1337.456,1528.401,6059.56,3549.27,232,9840.84,3.59,1454.7,11299.13,6262.87
108071504,Claysburg-Kimmel SD,Blair,932.549,1088.079,6027.16,3199.73,31.38,9258.27,0,2454.8,11713.08,5858.11
108073503,Hollidaysburg Area SD,Blair,3599.934,4248.076,6516.63,3398.12,37.64,9952.39,0,1185.49,11137.87,6627.37
108077503,Spring Cove SD,Blair,1936.525,2293.078,5789.2,2988.64,171.27,8949.11,25.36,1037.55,10012.02,6166.64
108078003,Tyrone Area SD,Blair,1839.446,2171.758,5761.18,3844.23,65.86,9671.26,223.82,7042.74,16937.82,5420.69
108079004,Williamsburg Community SD,Blair,557.602,662.269,6612.88,3987.02,362.94,10962.84,0,10584.84,21547.68,6810.61
117080503,Athens Area SD,Bradford,2375.407,2797.157,7726.14,3552.63,150.47,11429.24,0,1303.58,12732.83,6868.44
117081003,Canton Area SD,Bradford,1098.741,1288.546,7524.15,3856.5,304.18,11684.83,0,1044.45,12729.28,6896.63
117083004,Northeast Bradford SD,Bradford,864.323,1009.611,7226.97,3886.01,218.61,11331.58,20.61,877.28,12229.48,6980.29
117086003,Sayre Area SD,Bradford,1230.812,1419.513,6683.94,3735.56,356.79,10776.29,22.22,797.54,11596.04,7128.07
117086503,Towanda Area SD,Bradford,1729.408,2028.786,6254.45,3422.81,338.95,10016.21,88.46,1323.82,11428.48,5841.14
117086653,Troy Area SD,Bradford,1673.689,1991.457,6907,3548.51,215.35,10670.86,0,1267.71,11938.57,6161.43
117089003,Wyalusing Area SD,Bradford,1439.513,1686.336,6840.17,3823.77,194.17,10858.11,0,1218.15,12076.26,10281.62
122091002,Bensalem Township SD,Bucks,6806.827,7877.951,9186.63,4998.04,187.15,14371.82,0,1268.32,15640.13,10261.58
122091303,Bristol Borough SD,Bucks,1296.956,1536.152,9249.17,3372.65,196.89,12818.71,0,1828.06,14646.76,8173.35
122091352,Bristol Township SD,Bucks,7153.28,8430.127,9475.68,4936.18,171.21,14583.07,0,1017.78,15600.85,9217.85
122092002,Centennial SD,Bucks,6163.787,7072.641,8285.84,4210.5,173.07,12669.4,0,499.91,13169.32,8770.17
122092102,Central Bucks SD,Bucks,20518.579,23451.529,6655.27,3647.15,250.47,10552.89,0,1896.8,12449.68,7358.66
122092353,Council Rock SD,Bucks,12647.063,14710.726,9148.87,3932.29,73.13,13154.28,0,1310.3,14464.58,9274.7
122097203,Morrisville Borough SD,Bucks,980.274,1154.747,12718.01,4830,403.54,17951.54,0,1507.21,19458.75,12092.83
122097502,Neshaminy SD,Bucks,9578.864,11142.42,10846.13,4724.8,196.65,15767.58,38.75,1140.92,16947.25,11032.28
122097604,New Hope-Solebury SD,Bucks,1535.11,1801.362,10255.1,6706.71,330.73,17292.53,33.24,2282.34,19608.11,12360.89
122098003,Palisades SD,Bucks,2102.069,2453.034,8768.02,5347.77,149.85,14265.64,0,1403.76,15669.4,9839.28
122098103,Pennridge SD,Bucks,7494.717,8637.607,7456.02,3778.07,38.19,11272.28,0,2799.79,14072.07,7813.57
122098202,Pennsbury SD,Bucks,11837.229,13622.144,9117.18,3900.94,119.4,13137.51,0,995.39,14132.9,10017.47
122098403,Quakertown Community SD,Bucks,5528.636,6288.92,8710.82,4319.54,189.48,13219.84,0,1285.68,14505.52,9406.93
104101252,Butler Area SD,Butler,8215.181,9439.308,6177.25,2925.81,149.34,9252.4,0,876.94,10129.34,5795.7
104103603,Karns City Area SD,Butler,1798.638,2109.238,6643.21,3160.38,216.86,10020.45,47.63,745.07,10813.15,6045.92
104105003,Mars Area SD,Butler,3092.569,3527.53,5331.23,3173.27,258.77,8763.28,0,1437.73,10201.01,6183.03
104105353,Moniteau SD,Butler,1666.885,1934.236,5881.65,3755.44,391.45,10028.54,0,724.15,10752.7,5949.25
104107903,Seneca Valley SD,Butler,7698.238,8701.936,6732.06,2955.68,195.44,9883.17,9.76,1097.67,10990.59,6890.8
104107503,Slippery Rock Area SD,Butler,2452.846,2900.974,6069.36,2834.58,141.08,9045.02,0,1155.93,10200.95,5739.42
104107803,South Butler County SD,Butler,2942.376,3406.057,5291.2,3217.2,45.35,8553.74,0,1307.76,9861.5,5544.31
108110603,Blacklick Valley SD,Cambria,696.153,824.246,7169.12,4143.09,439.79,11752,0,195.67,11947.68,7344.17
108111203,Cambria Heights SD,Cambria,1495.335,1772.648,7164.02,3536.86,239.23,10940.11,10.1,883.51,11833.72,6586.74
108111303,Central Cambria SD,Cambria,1862.208,2191.019,6258.34,3179.82,222.49,9660.64,0,1911.78,11572.43,5785.81
108111403,Conemaugh Valley SD,Cambria,1019.973,1179.583,5928.34,3238.12,220.3,9386.76,0,449.17,9835.93,5742.73
108112003,Ferndale Area SD,Cambria,859.329,983.859,6184.74,3532.86,192.46,9910.06,0,947.63,10857.69,5931.13
108112203,Forest Hills SD,Cambria,2183.902,2605.272,5885.13,3195.56,291.79,9372.49,0,1076.53,10449.02,5744.36
