AUN,School District,County,adm,wadm,instruction,support,other,current,facilities,financing,total,"AIE per WADM"
115504003,Newport SD,Perry,1150.311,1340.304,8647.08,3507.7,291.56,12446.34,1.29,15971.19,28418.82,7733.53
123464502,Lower Merion SD,Montgomery,7707.812,8819.007,14570.33,7844.24,548.02,22962.59,0,3845.57,26808.16,16564.2
123460504,Bryn Athyn SD,Montgomery,11.719,14.754,22896.58,3778.31,0,26674.89,0,0,26674.89,19913.38
115503004,Greenwood SD,Perry,815.696,956.75,7459.42,4200.82,388.73,12048.97,108.9,14245.7,26403.57,7796.19
109532804,Galeton Area SD,Potter,391.844,446.486,10382.24,5158.93,446.95,15988.12,0,10051.44,26039.57,11069.48
112672803,Hanover Public SD,York,1860.056,2151.675,9542.46,3802.23,313.33,13658.02,0,10552.12,24210.13,9403.28
109535504,Northern Potter SD,Potter,545.89,636.48,9778.06,5681.61,251.74,15711.42,178.71,8311.56,24201.68,9732.66
123468402,Upper Merion Area SD,Montgomery,4047.487,4552.456,10276.27,5793.87,392.83,16462.98,0.49,7561.91,24025.38,11698.45
103029203,Upper Saint Clair SD,Allegheny,4214.262,4822.944,7846.27,5024.29,310.75,13181.31,0,10685.42,23866.73,8861.59
109537504,Oswayo Valley SD,Potter,485.729,561.854,8304.37,5388.91,519.61,14212.88,14.82,9410.87,23638.57,8900.23
109422303,Kane Area SD,McKean,1242.522,1453.06,7294.88,3864.88,314.06,11473.82,22.66,11759.82,23256.3,7349.85
114064003,Kutztown Area SD,Berks,1496.961,1771.677,10375.75,5604.05,383.42,16363.22,0,6842.07,23205.29,11097.62
114062003,Exeter Township SD,Berks,4300.713,5049.62,8312.48,3739.35,288.3,12340.14,14.22,10768.79,23123.15,8524.73
109530304,Austin Area SD,Potter,178.698,208.102,14227.15,7260.15,421.11,21908.42,0,1112.35,23020.77,13609.42
125237603,Radnor Township SD,Delaware,3685.42,4226.614,12063.33,6482.29,292.09,18837.71,0,3274.71,22112.43,12763.18
114068003,Tulpehocken Area SD,Berks,1518.758,1784.605,9896.32,5380.49,306.69,15583.51,0,6508.69,22092.2,10283.09
115211003,Camp Hill SD,Cumberland,1277.59,1452.764,7443.4,3768.65,623.64,11835.69,0,9838.04,21673.73,8642.7
105256553,Iroquois SD,Erie,1216.432,1422.237,7686.94,3661,334.85,11682.79,0,9913.07,21595.86,7425.01
129547203,Shenandoah Valley SD,Schuylkill,1171.197,1355.27,7762.8,3074.24,267.5,11104.54,-28.95,10255.69,21331.28,7138.58
103027753,Quaker Valley SD,Allegheny,1948.493,2228.023,10082.72,6375.23,719.93,17177.88,76.93,3917.11,21171.91,12137.82
125237903,Rose Tree Media SD,Delaware,3833.368,4405.142,11188.61,6123.3,368.88,17680.79,0,3379.21,21059.99,11762.13
122097604,New Hope-Solebury SD,Bucks,1590.715,1870.925,11159.37,6876.25,464.9,18500.52,8.82,2546.42,21055.76,13349.81
117089003,Wyalusing Area SD,Bradford,1422.382,1665.449,8883.67,4114.26,244.75,13242.68,3.58,7763.94,21010.21,8422.94
116493503,Line Mountain SD,Northumberland,1259.217,1467.936,6882.07,4643.16,276.64,11801.86,0,9147.08,20948.94,7036.75
103029603,West Mifflin Area SD,Allegheny,2829.23,3351.302,8921.52,4370.86,354.68,13647.06,5.55,7108.03,20760.64,8164.92
122098103,Pennridge SD,Bucks,7593.724,8706.133,8802.3,3976.93,177.65,12956.87,183.19,7593.34,20733.41,9286.72
123461302,Cheltenham Township SD,Montgomery,4583.192,5389.074,11637.79,6031.36,491.76,18160.9,110,2454.06,20724.97,12438.95
123463803,Jenkintown SD,Montgomery,625.586,729.285,12560.12,6428.29,421.52,19409.93,0,1213.75,20623.68,14403.78
102027451,Pittsburgh SD,Allegheny,28217.995,32832.409,11732.8,6188.68,189.27,18110.75,100.97,2383.1,20594.82,10817.86
123467203,Springfield Township SD,Montgomery,2233.511,2578.617,10430.1,7011.6,362.91,17804.61,0,2495.36,20299.97,12014.19
125235502,Marple Newtown SD,Delaware,3385.461,3935.849,10324.08,6531.97,328.44,17184.49,0,3030.7,20215.18,11468.49
127047404,South Side Area SD,Beaver,1210.547,1422.954,9914.91,5893.76,550.63,16359.3,0,3709.42,20068.73,10756.78
106272003,Forest Area SD,Forest,566.015,659.183,10172.21,7509.34,433.14,18114.69,0,1650.56,19765.25,10863.24
119583003,Forest City Regional SD,Susquehanna,783.537,918.736,9420.85,4722.8,277.44,14421.09,0,5054.33,19475.42,9146.82
123461602,Colonial SD,Montgomery,4739.443,5544.747,12387.96,5700.88,273.8,18362.64,0,1035.43,19398.08,12737.25
113380303,Annville-Cleona SD,Lebanon,1524.587,1763.089,6771.77,4159.25,377.71,11308.73,0,8058.44,19367.17,7683.54
124157203,Phoenixville Area SD,Chester,3966.245,4460.35,10839.44,5035.78,388.04,16263.26,0,3052.15,19315.41,11666.21
104432503,Farrell Area SD,Mercer,816.199,949.82,11345.72,5640.67,936.13,17922.53,0,1386.7,19309.23,9847.87
122098003,Palisades SD,Bucks,1818.265,2119.594,10750.54,6286.09,540.54,17577.17,112.3,1363.62,19053.1,12021.9
103029803,Wilkinsburg Borough SD,Allegheny,1394.154,1592.459,12832.31,5430.85,247.52,18510.68,0,538.71,19049.39,12009.12
114061103,Conrad Weiser Area SD,Berks,2767.072,3262.259,8758.54,3903.17,270.98,12932.69,0,6065.53,18998.22,7913.04
103026303,Montour SD,Allegheny,2973.662,3528.551,10311.67,5483.14,430.22,16225.02,98.82,2628.28,18952.11,11036.01
112679403,York Suburban SD,York,2981.474,3435.054,9545.2,4197.72,309.98,14052.91,0,4863.83,18916.73,10036.74
123464603,Lower Moreland Township SD,Montgomery,2178.052,2573.337,10180.81,5082.27,377.96,15641.04,0,3274.61,18915.64,10408.07
123468303,Upper Dublin SD,Montgomery,4278.732,5053.697,10685.68,5006.78,403.02,16095.48,0,2763.47,18858.95,10590.58
103022503,Duquesne City SD,Allegheny,766.414,895.801,12709.59,4185.76,25.61,16920.96,0,1899.99,18820.95,10745.41
101308503,West Greene SD,Greene,806.543,945.665,10807.73,5532.28,383.82,16723.84,0,2009.25,18733.08,10777.99
121139004,Weatherly Area SD,Carbon,676.602,803.206,9758.32,5693.92,319.44,15771.68,0,2954.17,18725.85,10396.63
110173504,Harmony Area SD,Clearfield,332.288,391.154,10847.9,5657.12,391.15,16896.17,37.66,1562.44,18496.28,9396.1
106160303,Allegheny-Clarion Valley SD,Clarion,740.467,880.254,11083.05,5856.09,381.64,17320.78,20.09,1088.18,18429.05,8542.79
123469303,Wissahickon SD,Montgomery,4470.007,5254.666,11590.05,5456.54,354.12,17400.72,0,989.71,18390.43,11946.77
122097203,Morrisville Borough SD,Bucks,1005.604,1144.257,13017.86,3855.35,353.47,17226.67,0,1150.65,18377.32,11441.03
124153503,Great Valley SD,Chester,4132.665,4738.174,10543.56,5121.82,287.69,15953.07,0,2376.83,18329.9,11286.57
103023912,Fox Chapel Area SD,Allegheny,4367.399,5142.462,11059.76,5483.16,476.81,17019.72,161.41,1126.95,18308.08,11878.87
117576303,Sullivan County SD,Sullivan,673.565,788.189,10994.31,6173.95,408.35,17576.61,0,700.56,18277.17,11759.36
125239603,Wallingford-Swarthmore SD,Delaware,3549.741,4082.024,10821.13,4972.77,347.28,16141.18,54.79,2064.6,18260.58,11488.67
122097502,Neshaminy SD,Bucks,9346.643,10741.826,10510.73,4377.17,177.69,15065.59,42.84,3131.55,18239.98,10538.18
116191503,Central Columbia SD,Columbia,2051.351,2425.209,6833.83,3730.61,253.27,10817.71,0,7379.09,18196.79,7102.27
125231303,Chichester SD,Delaware,3485.259,4052.326,10089.29,5212.25,377.06,15678.6,0,2361.02,18039.62,10429.47
125237702,Ridley SD,Delaware,5711.687,6649.6,10072.93,3987.95,171.64,14232.52,0,3713.86,17946.39,10077.73
103028203,Riverview SD,Allegheny,1055.459,1243.907,9751.79,5898.43,687.66,16337.88,231.65,1292.2,17861.73,11196.64
119648303,Wallenpaupack Area SD,Pike,3374.038,4014.848,10676.96,5041.65,521.46,16240.06,0,1610.76,17850.82,10356.59
120456003,Stroudsburg Area SD,Monroe,5371.182,6362.41,10323.18,4731.34,201.81,15256.33,0,2555.89,17812.23,10109.76
123465303,Methacton SD,Montgomery,5161.769,5957.794,10327.76,5435.5,248.55,16011.81,0,1783.47,17795.28,10802.49
122092353,Council Rock SD,Bucks,11513.327,13404.747,11168.61,4382.96,265.52,15817.08,0,1844.05,17661.13,11019.53
124157802,Tredyffrin-Easttown SD,Chester,6627.286,7588.922,9518.87,5307.33,272.29,15098.5,0,2541.29,17639.79,10707.76
121395603,Salisbury Township SD,Lehigh,1719.247,2004.971,9460.27,5917.83,421.44,15799.54,3.11,1830.52,17633.17,10359.82
125234103,Garnet Valley SD,Delaware,4835.425,5537.981,10097.44,4190.32,592.23,14879.99,0,2728.48,17608.47,10662.82
103020603,Allegheny Valley SD,Allegheny,1029.72,1209.857,9080.69,5678.93,516.72,15276.34,0,2215.39,17491.73,10068.39
101306503,Southeastern Greene SD,Greene,615.059,720.769,8807.32,6988.61,384.27,16180.2,0,1285.28,17465.48,9184.62
119648903,Western Wayne SD,Wayne,2258.159,2602.261,10069.13,5133.08,405.05,15607.27,0,1821.83,17429.1,9381.62
120455403,Pocono Mountain SD,Monroe,10613.735,12629.078,9406.95,5019.66,182.14,14608.75,16.11,2797.13,17421.98,9436.15
