ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a County based table with the following filters applied: State(s) (All Years): Pennsylvania

County Name,Individualized Education Program Students [District] 2011-12,Individualized Education Program Students [District] 2010-11,Individualized Education Program Students [District] 2009-10,County Number [District] Latest available year
ADAMS COUNTY PA  ,1847,1938,1904,42001
ALLEGHENY COUNTY PA  ,25002,24708,25683,42003
ARMSTRONG COUNTY PA  ,1573,†,1251,42005
BEAVER COUNTY PA  ,4697,4783,4563,42007
BEDFORD COUNTY PA  ,1193,1226,1267,42009
BERKS COUNTY PA  ,12922,12691,12488,42011
BLAIR COUNTY PA  ,3223,3266,3329,42013
BRADFORD COUNTY PA  ,1627,1691,1712,42015
BUCKS COUNTY PA  ,15959,15944,15890,42017
BUTLER COUNTY PA  ,3997,4594,4497,42019
CAMBRIA COUNTY PA  ,3092,3123,3212,42021
CAMERON COUNTY PA  ,172,170,178,42023
CARBON COUNTY PA  ,1618,1641,1620,42025
CENTRE COUNTY PA  ,1941,2023,2076,42027
CHESTER COUNTY PA  ,14904,14578,13545,42029
CLARION COUNTY PA  ,1119,1000,1018,42031
CLEARFIELD COUNTY PA  ,2346,2374,2358,42033
CLINTON COUNTY PA  ,930,950,884,42035
COLUMBIA COUNTY PA  ,1218,1233,1276,42037
CRAWFORD COUNTY PA  ,2109,2145,2223,42039
CUMBERLAND COUNTY PA  ,3886,4601,4576,42041
DAUPHIN COUNTY PA  ,6903,6169,6311,42043
DELAWARE COUNTY PA  ,14027,13980,14094,42045
ELK COUNTY PA  ,656,701,733,42047
ERIE COUNTY PA  ,7318,7487,7516,42049
FAYETTE COUNTY PA  ,3325,3331,3297,42051
FOREST COUNTY PA  ,157,277,293,42053
FRANKLIN COUNTY PA  ,3265,3361,3470,42055
FULTON COUNTY PA  ,353,368,369,42057
GREENE COUNTY PA  ,1124,1151,1128,42059
HUNTINGDON COUNTY PA  ,1137,1180,1210,42061
INDIANA COUNTY PA  ,1925,2271,2419,42063
JEFFERSON COUNTY PA  ,928,†,1027,42065
JUNIATA COUNTY PA  ,436,430,316,42067
LACKAWANNA COUNTY PA  ,4824,4832,4834,42069
LANCASTER COUNTY PA  ,10856,11044,11320,42071
LAWRENCE COUNTY PA  ,2062,2025,2110,42073
LEBANON COUNTY PA  ,3203,3127,3047,42075
LEHIGH COUNTY PA  ,8306,8227,8029,42077
LUZERNE COUNTY PA  ,7457,7347,7154,42079
LYCOMING COUNTY PA  ,2646,2807,2775,42081
MCKEAN COUNTY PA  ,1021,1006,1024,42083
MERCER COUNTY PA  ,2871,2642,2757,42085
MIFFLIN COUNTY PA  ,909,922,914,42087
MONROE COUNTY PA  ,5422,5468,5392,42089
MONTGOMERY COUNTY PA  ,18217,18038,17822,42091
MONTOUR COUNTY PA  ,381,388,399,42093
NORTHAMPTON COUNTY PA  ,7012,6975,6909,42095
NORTHUMBERLAND COUNTY PA  ,2039,2038,1965,42097
PERRY COUNTY PA  ,1229,1286,1310,42099
PHILADELPHIA COUNTY PA  ,31245,30662,30522,42101
PIKE COUNTY PA  ,1422,1453,1511,42103
POTTER COUNTY PA  ,404,406,400,42105
SCHUYLKILL COUNTY PA  ,3957,3896,3862,42107
SNYDER COUNTY PA  ,709,713,730,42109
SOMERSET COUNTY PA  ,1704,1728,1751,42111
SULLIVAN COUNTY PA  ,108,114,106,42113
SUSQUEHANNA COUNTY PA  ,1158,1236,1364,42115
TIOGA COUNTY PA  ,1004,976,958,42117
UNION COUNTY PA  ,645,627,644,42119
VENANGO COUNTY PA  ,1589,1654,1658,42121
WARREN COUNTY PA  ,991,1025,1085,42123
WASHINGTON COUNTY PA  ,4697,4750,4429,42125
WAYNE COUNTY PA  ,906,859,821,42127
WESTMORELAND COUNTY PA  ,7446,7339,7406,42129
WYOMING COUNTY PA  ,651,698,749,42131
YORK COUNTY PA  ,10943,11099,11102,42133
Totals:,294963,292792,294592,n/a

Data Source: U.S. Department of Education National Center for Education Statistics Common Core of Data (CCD) "Local Education Agency (School District) Universe Survey" 2009-10 v.2a  2010-11 v.2a  2011-12 v.1a.

† indicates that the data are not applicable.
– indicates that the data are missing.
‡ indicates that the data do not meet NCES data quality standards.
